card-link--3ssYv href,heading--2eONR,details--1GUIn,premium-member--3Qd1D,price--3SnqI,updated-time--1DbCk
https://ikman.lk/en/ad/ph570-house-for-sale-in-nugegoda-for-sale-colombo-78,(PH570) House for sale in Nugegoda,Bedrooms: 4 | Bathrooms: 2,MEMBER,"Rs 79,000,000",2 hours
https://ikman.lk/en/ad/ph894-brand-new-house-with-swimming-pool-for-sale-in-piliyandala-for-sale-colombo-44,(PH894) Brand New House with Swimming Pool for Sale in Piliyandala,Bedrooms: 5 | Bathrooms: 3,MEMBER,"Rs 65,000,000",2 hours
https://ikman.lk/en/ad/ph946-brand-new-modern-luxury-2-storey-house-for-sale-in-piliyandala-for-sale-colombo-34,(PH946) Brand New Modern Luxury 2 Storey House for Sale in Piliyandala,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 44,000,000",2 hours
https://ikman.lk/en/ad/ph979-brand-new-luxury-house-for-sale-in-boralesgamuwa-for-sale-colombo-19,(PH979) Brand New Luxury House for Sale in Boralesgamuwa,Bedrooms: 4 | Bathrooms: 4,MEMBER,"Rs 109,000,000",2 hours
https://ikman.lk/en/ad/maalbee-ngryen-vttinaa-alutm-nivsk-vikinniimtt-for-sale-colombo-2,මාලබේ නගරයෙන් වටිනා අලුත්ම නිවසක් විකිණීමට,Bedrooms: 3 | Bathrooms: 3,MEMBER,"Rs 28,500,000",2 hours
https://ikman.lk/en/ad/brand-new-box-type-house-in-malabe-for-sale-colombo,Brand New Box Type House In Malabe,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 26,500,000",2 hours
https://ikman.lk/en/ad/furnished-house-in-weera-mawatha-pannipitiya-for-sale-for-sale-colombo-15,"Furnished house in Weera Mawatha, Pannipitiya for Sale",Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 52,000,000",2 hours
https://ikman.lk/en/ad/well-build-good-house-for-sale-athurugiriya-for-sale-colombo,Well Build Good House For Sale Athurugiriya,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 35,500,000",2 hours
https://ikman.lk/en/ad/newly-built-single-storey-house-for-sale-in-piliyandala-madapatha-for-sale-colombo-2,Newly Built Single Storey House for Sale in Piliyandala Madapatha,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 23,500,000",2 hours
https://ikman.lk/en/ad/modern-architecture-design-house-for-sale-maharagama-for-sale-colombo-1,Modern Architecture Design House for Sale Maharagama,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 55,000,000",
